"region","mean","std"
"ctx-lh-superiorparietal",0.9300768774211,0.101202267806269
"ctx-lh-superiortemporal",0.874383652637118,0.0804543059606604
"ctx-lh-supramarginal",0.842161333638174,0.102197124314007
"ctx-lh-frontalpole",0.105184099904756,0.0150555617708768
"ctx-lh-temporalpole",0.206612120028054,0.0240664591231962
"ctx-lh-transversetemporal",0.0919283731741025,0.0143913203866798
"ctx-lh-insula",0.536549881830651,0.0342302469635602
"ctx-rh-bankssts",0.153090295399248,0.030049228590759
"ctx-rh-caudalanteriorcingulate",0.16858182015848,0.0253979814617671
"ctx-rh-caudalmiddlefrontal",0.453885586584139,0.0723817366446254
"ctx-rh-cuneus",0.342245191616721,0.0465218841358671
"ctx-rh-entorhinal",0.142364023990359,0.014879276743525
"ctx-rh-fusiform",0.841293113483667,0.0600007556490445
"ctx-rh-inferiorparietal",1.18701155100135,0.185866175547116
"ctx-rh-inferiortemporal",0.783448419500042,0.0827997442731424
"ctx-rh-isthmuscingulate",0.181239588312308,0.0196623087867363
"ctx-rh-lateraloccipital",1.014702411984,0.103272569218143
"ctx-rh-lateralorbitofrontal",0.582483962014904,0.0437740025281328
"ctx-rh-lingual",0.46200038425189,0.049785408411007
"ctx-rh-medialorbitofrontal",0.447820588512805,0.0347565358443835
"ctx-rh-middletemporal",0.902226898995207,0.0926613003577311
"ctx-rh-parahippocampal",0.149128198934981,0.0134424967255381
"ctx-rh-paracentral",0.324775530968441,0.0366525171169283
"ctx-rh-parsopercularis",0.323564328783437,0.0483826995412918
"ctx-rh-parsorbitalis",0.244364773301525,0.0316853353986947
"ctx-rh-parstriangularis",0.332561298317083,0.0580249233963291
"ctx-rh-pericalcarine",0.158545980288344,0.0310220194512653
"ctx-rh-postcentral",0.730743430334393,0.0625576243573373
"ctx-rh-posteriorcingulate",0.253433349671313,0.0270504088903072
"ctx-rh-precentral",0.984587567798602,0.0778165658229541
"ctx-rh-precuneus",0.725866731198548,0.0645628255959077
"ctx-rh-rostralanteriorcingulate",0.198701247044255,0.0314153221907907
"ctx-rh-rostralmiddlefrontal",1.17651460985632,0.169085489413934
"ctx-rh-superiorfrontal",1.61934192284467,0.141328196083803
"ctx-rh-superiorparietal",1.00534656234556,0.0997070184135877
"ctx-rh-superiortemporal",0.862035503850433,0.0696647688932077
"ctx-rh-supramarginal",0.785746284249793,0.0961562285195798
"ctx-rh-frontalpole",0.113538550539745,0.0150247873267729
"ctx-rh-temporalpole",0.256409348768369,0.0316267858704035
"ctx-rh-transversetemporal",0.0732146874013924,0.0122512528097023
"ctx-rh-insula",0.549214813502948,0.0335526579668982
